iter	Passed	Remaining
143	30781	182976
144	30983	182694
145	31176	182360
146	31367	182016
147	31558	181677
148	31753	181357
149	31953	181067
150	32156	180798
151	32347	180463
152	32564	180275
153	32793	180153
154	33023	180030
155	33273	180017
156	33513	179950
157	33750	179861
158	33954	179594
159	34150	179287
160	34349	178999
161	34545	178699
162	34739	178384
163	34943	178128
164	35170	177983
165	35372	177716
166	35562	177389
167	35759	177095
168	35968	176863
169	36178	176636
170	36378	176362
171	36583	176111
172	36787	175858
173	36992	175606
174	37221	175472
175	37425	175220
176	37631	174977
177	37838	174735
178	38044	174493
179	38250	174251
180	38446	173963
181	38640	173668
182	38834	173374
183	39040	173135
184	39302	173142
185	39496	172848
186	39689	172552
187	39878	172241
188	40090	172030
189	40294	171780
190	40487	171490
191	40684	171215
192	40875	170915
193	41069	170629
194	41268	170362
195	41463	170084
196	41660	169814
197	41858	169547
198	42054	169275
199	42255	169022
200	42459	168780
201	42654	168504
202	42844	168210
203	43052	167987
204	43244	167703
205	43439	167430
206	43632	167151
207	43842	166939
208	44038	166670
209	44231	166395
210	44424	166118
211	44621	165857
212	44817	165594
213	45024	165369
214	45336	165531
215	45537	165284
216	45733	165019
217	45949	164829
218	46159	164616
219	46374	164417
220	46601	164265
221	46800	164011
222	47022	163840
223	47227	163609
224	47419	163334
225	47631	163125
226	47823	162853
227	48028	162622
228	48235	162400
229	48429	162135
230	48626	161877
231	48821	161615
232	49018	161361
233	49221	161127
234	49419	160875
235	49614	160616
236	49813	160369
237	50016	160138
238	50234	159952
239	50435	159711
240	50660	159549
241	50852	159282
242	51048	159027
243	51250	158792
244	51452	158556
245	51651	158314
246	51853	158078
247	52062	157868
248	52270	157652
249	52469	157407
250	52668	157165
251	52892	156997
252	53116	156830
253	53361	156724
254	53597	156589
255	53808	156379
256	54013	156155
257	54220	155935
258	54430	155726
259	54639	155513
260	54841	155279
261	55051	155069
262	55264	154866
263	55465	154629
264	55666	154397
265	55872	154175
266	56102	154018
267	56313	153812
268	56540	153648
269	56745	153424
270	56950	153198
271	57150	152962
272	57356	152741
273	57562	152519
274	57772	152308
275	57986	152109
276	58207	151927
277	58421	151728
278	58639	151537
279	58843	151310
280	59046	151084
281	59282	150940
282	59512	150779
283	59738	150608
284	60032	150607
285	60284	150500
286	60514	150336
287	60716	150104
288	60937	149918
289	61152	149718
290	61443	149701
291	61717	149644
292	61913	149394
293	62108	149143
294	62304	148896
295	62502	148653
296	62726	148474
297	62951	148294
298	63151	148057
299	63393	147918
300	63601	147698
301	63867	147614
302	64127	147515
303	64375	147386
304	64613	147234
305	64863	147109
306	65095	146940
307	65338	146800
308	65578	146649
309	65837	146541
310	66086	146411
311	66323	146251
312	66593	146165
313	66851	146051
314	67068	145846
315	67264	145597
316	67463	145354
317	67659	145106
318	67857	144861
319	68061	144629
320	68338	144553
321	68545	144328
322	68744	144086
323	68947	143853
324	69152	143623
325	69418	143520
326	69636	143319
327	69834	143075
328	70035	142839
329	70236	142601
330	70491	142473
331	70715	142283
332	70965	142143
333	71203	141980
334	71417	141768
335	71618	141531
336	71821	141298
337	72027	141071
338	72272	140920
339	72507	140750
340	72748	140590
341	72963	140379
342	73171	140156
343	73382	139939
344	73592	139718
345	73811	139517
346	74024	139303
347	74239	139092
348	74454	138881
349	74661	138657
350	74871	138436
351	75081	138218
352	75298	138011
353	75519	137812
354	75735	137603
355	75947	137388
356	76156	137167
357	76366	136947
358	76575	136726
359	76785	136506
360	76998	136293
361	77211	136080
362	77424	135866
363	77637	135651
364	77851	135440
365	78060	135219
366	78273	135005
367	78482	134785
368	78693	134568
369	78907	134356
370	79122	134145
371	79339	133938
372	79555	133730
373	79785	133544
374	80006	133344
375	80218	133128
376	80432	132915
377	80644	132700
378	80857	132486
379	81071	132274
380	81302	132089
381	81518	131880
382	81734	131671
383	82006	131552
384	82212	131326
385	82429	131117
386	82666	130941
387	82893	130750
388	83148	130601
389	83383	130419
390	83621	130244
391	83846	130047
392	84085	129872
393	84320	129690
394	84548	129497
395	84779	129310
396	85004	129112
397	85233	128920
398	85462	128728
399	85676	128514
400	85960	128405
401	86250	128303
402	86476	128105
403	86690	127890
404	86913	127687
405	87148	127502
406	87359	127283
407	87574	127068
408	87789	126855
409	88006	126643
410	88230	126442
411	88445	126228
412	88655	126007
413	88869	125791
414	89085	125578
415	89314	125383
416	89536	125179
417	89796	125027
418	90101	124937
419	90404	124844
420	90677	124707
421	91154	124851
422	91785	125200
423	92288	125373
424	92692	125407
425	93065	125398
426	93378	125306
427	93732	125268
428	94101	125248
429	94444	125194
430	94820	125180
431	95214	125189
432	95602	125188
433	96022	125227
434	96308	125090
435	96496	124825
436	96685	124562
437	96917	124355
438	97109	124096
439	97299	123836
440	97493	123580
441	97686	123323
442	97878	123066
443	98081	122822
444	98275	122567
445	98464	122308
446	98654	122048
447	98844	121790
448	99037	121536
449	99253	121310
450	99449	121059
451	99666	120834
452	99899	120629
453	100116	120404
454	100347	120196
455	100636	120057
456	100904	119893
457	101144	119695
458	101401	119516
459	101650	119328
460	101921	119166
461	102207	119020
462	102489	118870
463	102757	118703
464	103078	118595
465	103381	118466
466	103782	118449
467	104006	118229
468	104224	118002
469	104454	117789
470	104713	117607
471	104964	117418
472	105219	117232
473	105450	117018
474	105682	116807
475	105915	116596
476	106165	116403
477	106410	116205
478	106669	116022
479	106910	115819
480	107175	115642
481	107422	115445
482	107667	115246
483	107959	115097
484	108205	114899
485	108434	114682
486	108666	114468
487	108886	114241
488	109121	114030
489	109354	113817
490	109597	113615
491	109854	113426
492	110105	113231
493	110374	113055
494	110666	112902
495	110921	112710
496	111180	112523
497	111432	112327
498	111666	112114
499	111901	111901
500	112141	111693
501	112379	111483
502	112610	111267
503	112844	111053
504	113076	110837
505	113325	110637
506	113570	110434
507	113805	110220
508	114046	110012
509	114308	109825
510	114558	109626
511	114860	109476
512	115131	109296
513	115381	109096
514	115631	108895
515	115948	108758
516	116220	108577
517	116533	108434
518	116805	108253
519	117034	108031
520	117262	107809
521	117499	107595
522	117743	107387
523	117968	107161
524	118197	106940
525	118429	106721
526	118666	106506
527	118901	106290
528	119135	106073
529	119370	105857
530	119598	105634
531	119837	105421
532	120092	105222
533	120323	105001
534	120567	104792
535	120815	104586
536	121041	104361
537	121282	104149
538	121613	104014
539	121856	103803
540	122091	103586
541	122325	103367
542	122571	103159
543	122811	102944
544	123052	102731
545	123294	102519
546	123532	102303
547	123768	102086
548	124010	101873
549	124250	101659
550	124489	101444
551	124725	101226
552	124964	101010
553	125066	100685
554	125302	100467
555	125541	100252
556	125775	100033
557	126022	99824
558	126258	99606
559	126492	99387
560	126741	99179
561	127023	98996
562	127352	98850
563	127597	98638
564	127835	98421
565	128073	98205
566	128313	97989
567	128554	97773
568	128787	97552
569	129011	97324
570	129232	97094
571	129466	96873
572	129709	96659
573	129947	96441
574	130186	96224
575	130429	96010
576	130665	95791
577	130909	95577
578	131150	95361
579	131384	95140
580	131621	94921
581	131863	94706
582	132100	94487
583	132344	94272
584	132577	94050
585	132805	93825
586	133043	93606
587	133333	93424
588	133646	93257
589	133965	93094
590	134204	92875
591	134443	92656
592	134683	92438
593	134933	92227
594	135174	92009
595	135407	91786
596	135680	91590
597	136028	91444
598	136330	91266
599	136603	91069
600	136934	90910
601	137378	90825
602	137683	90647
603	137945	90440
604	138178	90215
605	138415	89992
606	138649	89768
607	138893	89549
608	139148	89338
609	139403	89126
610	139709	88947
611	139971	88740
612	140310	88580
613	140645	88418
614	140911	88212
615	141154	87992
616	141457	87808
617	141819	87661
618	142155	87497
619	142467	87319
620	142710	87097
621	142954	86875
622	143195	86652
623	143432	86427
624	143672	86203
625	143913	85980
626	144156	85758
627	144399	85536
628	144643	85314
629	144887	85092
630	145124	84866
631	145365	84643
632	145611	84422
633	145870	84209
634	146119	83989
635	146377	83775
636	146626	83556
637	146870	83333
638	147135	83123
639	147465	82949
640	147761	82755
641	148007	82533
642	148269	82320
643	148541	82113
644	148833	81915
645	149087	81697
646	149348	81483
647	149611	81270
648	149870	81054
649	150129	80838
650	150384	80621
651	150632	80399
652	150882	80177
653	151139	79960
654	151437	79764
655	151733	79567
656	151978	79343
657	152223	79119
658	152474	78898
659	152719	78673
660	152974	78454
661	153223	78231
662	153476	78011
663	153737	77794
664	153993	77575
665	154254	77358
666	154518	77143
667	154774	76923
668	155026	76702
669	155336	76508
670	155655	76319
671	155962	76124
672	156285	75936
673	156579	75734
674	156893	75541
675	157220	75354
676	157524	75155
677	157789	74938
678	158095	74740
679	158443	74561
680	158757	74366
681	159012	74143
682	159266	73920
683	159514	73693
684	159765	73468
685	160011	73241
686	160339	73051
687	160627	72842
688	160888	72621
689	161138	72395
690	161397	72173
691	161649	71948
692	161929	71735
693	162272	71549
694	162635	71372
695	162969	71182
696	163303	70991
697	163623	70794
698	163887	70572
699	164136	70344
700	164400	70122
701	164660	69898
702	164917	69673
703	165197	69457
704	165479	69243
705	165754	69025
706	166016	68801
707	166273	68576
708	166529	68349
709	166785	68123
710	167039	67896
711	167297	67670
712	167551	67443
713	167801	67214
714	168053	66986
715	168300	66756
716	168550	66526
717	168801	66298
718	169059	66071
719	169397	65876
720	169649	65648
721	169902	65419
722	170154	65190
723	170424	64968
724	170726	64758
725	171026	64547
726	171303	64327
727	171570	64103
728	171860	63887
729	172142	63669
730	172395	63439
731	172674	63219
732	172942	62995
733	173206	62769
734	173462	62540
735	173738	62319
736	173990	62088
737	174243	61858
738	174496	61628
739	174746	61397
740	174994	61165
741	175249	60935
742	175514	60709
743	175776	60482
744	176038	60254
745	176296	60025
746	176556	59797
747	176862	59584
748	177143	59363
749	177408	59136
750	177682	58911
751	177960	58688
752	178241	58467
753	178634	58281
754	178921	58060
755	179199	57836
756	179452	57605
757	179744	57385
758	180026	57162
759	180312	56940
760	180582	56713
761	180844	56484
762	181185	56279
763	181489	56062
764	181767	55836
765	182023	55605
766	182293	55377
767	182591	55157
768	182975	54963
769	183313	54756
770	183629	54541
771	183936	54323
772	184259	54109
773	184579	53895
774	184897	53679
775	185169	53451
776	185424	53216
777	185673	52981
778	185940	52750
779	186204	52519
780	186464	52286
781	186750	52060
782	187013	51828
783	187273	51595
784	187536	51363
785	187805	51132
786	188112	50912
787	188488	50710
788	188879	50511
789	189260	50309
790	189593	50094
791	189854	49860
792	190130	49630
793	190393	49396
794	190637	49158
795	190911	48927
796	191246	48711
797	191588	48497
798	191888	48272
799	192156	48039
800	192418	47804
801	192685	47570
802	192936	47333
803	193191	47096
804	193456	46862
805	193720	46627
806	193990	46394
807	194255	46159
808	194525	45926
809	194788	45691
810	195052	45456
811	195320	45222
812	195595	44989
813	195855	44753
814	196135	44521
815	196402	44286
816	196663	44050
817	196928	43815
818	197186	43578
819	197455	43343
820	197727	43109
821	197988	42873
822	198251	42637
823	198510	42400
824	198773	42164
825	199030	41926
826	199303	41692
827	199562	41455
828	199827	41218
829	200112	40986
830	200380	40751
831	200661	40518
832	201036	40303
833	201380	40082
834	201665	39850
835	201963	39619
836	202258	39388
837	202562	39158
838	202848	38925
839	203118	38689
840	203388	38452
841	203656	38215
842	203955	37984
843	204241	37750
844	204618	37533
845	204999	37316
846	205359	37095
847	205632	36858
848	205914	36623
849	206220	36391
850	206494	36154
851	206761	35916
852	207036	35679
853	207323	35444
854	207592	35205
855	207858	34966
856	208123	34727
857	208401	34490
858	208673	34252
859	208940	34013
860	209216	33775
861	209502	33539
862	209775	33301
863	210045	33062
864	210302	32821
865	210568	32582
866	210835	32342
867	211102	32103
868	211374	31864
869	211639	31624
870	211902	31384
871	212164	31143
872	212435	30904
873	212704	30664
874	212969	30424
875	213264	30188
876	213530	29947
877	213799	29707
878	214085	29470
879	214355	29230
880	214621	28989
881	214891	28749
882	215164	28509
883	215444	28270
884	215711	28030
885	215993	27791
886	216258	27550
887	216528	27309
888	216801	27069
889	217076	26829
890	217347	26589
891	217628	26349
892	217887	26107
893	218158	25866
894	218423	25625
895	218686	25383
896	218952	25141
897	219225	24900
898	219505	24660
899	219772	24419
900	220045	24178
901	220314	23936
902	220586	23695
903	220865	23454
904	221140	23213
905	221420	22972
906	221690	22731
907	221958	22489
908	222232	22247
909	222510	22006
910	222781	21764
911	223059	21523
912	223331	21281
913	223607	21039
914	223883	20797
915	224156	20555
916	224427	20313
917	224701	20071
918	224974	19829
919	225240	19586
920	225511	19343
921	225778	19100
922	226046	18857
923	226320	18615
924	226593	18372
925	226865	18129
926	227140	17886
927	227429	17645
928	227715	17403
929	228002	17161
930	228283	16918
931	228566	16676
932	228865	16435
933	229179	16194
934	229459	15951
935	229761	15710
936	230057	15468
937	230407	15229
938	230695	14986
939	230994	14744
940	231291	14501
941	231583	14258
942	231956	14020
943	232245	13777
944	232528	13533
945	232802	13288
946	233134	13047
947	233503	12808
948	233848	12567
949	234182	12325
950	234457	12080
951	234729	11835
952	234996	11589
953	235267	11344
954	235548	11099
955	235829	10854
956	236143	10610
957	236414	10364
958	236680	10118
959	236955	9873
960	237238	9627
961	237519	9382
962	237826	9137
963	238100	8891
964	238373	8645
965	238650	8399
966	238956	8154
967	239236	7908
968	239532	7663
969	239864	7418
970	240166	7172
971	240445	6926
972	240731	6680
973	241028	6434
974	241309	6187
975	241582	5940
976	241852	5693
977	242131	5446
978	242408	5199
979	242689	4952
980	242978	4706
981	243258	4458
982	243544	4211
983	243842	3964
984	244118	3717
985	244393	3470
986	244665	3222
987	244982	2975
988	245268	2727
989	245556	2480
990	245856	2232
991	246177	1985
992	246505	1737
993	246830	1489
994	247116	1241
995	247397	993
996	247691	745
997	247996	496
998	248288	248
999	248570	0
